,Rank2016,District,City,RegionName,County,Score2016,Score2015,Rank2015,SchoolDiggerRating,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16
243,165.0,Berryessa Union Elementary,San Jose,95132,Santa Clara,0.7366372,0.7449624,166,4.0,798266.91176,823330.36198,786621.0,864324.416667,,,,,,,,,,,,,,,,
244,168.0,Cayucos Elementary,Cayucos,93430,San Luis Obispo,0.7353706,0.8529715,82,4.0,,,,,,,,,,,,,,,,,,,,
245,169.0,Glenn County Office Of Education,Willows,95988,Glenn,0.7346779,0.5640584,386,4.0,,,,,,,,,,,,,,,,,,,,
246,732.0,Willows Unified,Willows,95988,Glenn,0.271682,0.2151944,773,1.0,,,,,,,,,,,,,,,,,,,,
247,,Glenn County ROP,Willows,95988,Glenn,(n/a),(n/a),(n/a),,,,,,,,,,,,,,,,,,,,,
248,170.0,Brisbane Elementary,Brisbane,94005,San Mateo,0.733777,0.6965948,219,4.0,,,,,,,,,,,,,,,,,,,,
249,172.0,Roseville Joint Union High,Roseville,95661,Placer,0.7305703,0.7463017,164,4.0,387229.166667,423958.333333,453764.583333,471145.833333,,,,,,,485612.916667,513912.791667,,,,,,,459562.5,479578.583333
250,173.0,Pleasant Valley,Camarillo,93010,Ventura,0.730504,0.7524802,161,4.0,513625.0,543833.333333,643379.166667,646260.208333,,,,,526683.333333,555524.583333,692283.333333,690279.166667,,,,,,,744079.166667,713477.25
251,174.0,Brentwood Union Elementary,Brentwood,94513,Contra Costa,0.7300237,0.7098074,207,4.0,465979.166667,504725.0,533562.458333,563248.708333,,,542437.208333,552345.541667,422181.166667,467356.583333,527276.291667,554272.208333,619579.166667,682401.083333,,,,,532851.958333,562022.791667
252,345.0,Liberty Union High,Brentwood,94513,Contra Costa,0.5780821,0.5515757,397,3.0,465979.166667,504725.0,533562.458333,563248.708333,,,542437.208333,552345.541667,422181.166667,467356.583333,527276.291667,554272.208333,619579.166667,682401.083333,,,,,532851.958333,562022.791667
253,175.0,Bonsall Union Elementary,Bonsall,92003,San Diego,0.729667,0.7393597,171,4.0,455000.0,,,,,,,,,,,,,,,,,,929566.666667,969625.0
254,,Bonsall Unified,Bonsall,92003,San Diego,(n/a),(n/a),(n/a),,455000.0,,,,,,,,,,,,,,,,,,929566.666667,969625.0
255,178.0,Tahoe-Truckee Unified,Truckee,96161,Nevada,0.7294072,0.7550494,160,4.0,474170.833333,510225.0,592025.0,675628.125,,,371979.166667,413141.666667,544445.833333,611452.083333,1172083.33333,1252666.66667,,,,,,,728466.666667,736204.166667
