,Unnamed: 0_x,RegionName,CrimeCases_x,Unnamed: 0.1,Population_x,StateCode,crime_rate,Unnamed: 0_y,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16,Unemploy_Rate,Population_y,CrimeCases_y,Score2016,Score2015,Rank2016,Highest Rank City 2016,Zip2016,Rank2015,Highest Rank City 2015,Zip2015,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,total_income
32,32,Tulare,4916.0,54,459863,California,0.0106901403244,17,182336.25,186669.166667,215324.583333,234676.708333,,,128389.541667,131868.75,197479.166667,213572.875,274408.666667,295641.25,338708.333333,333816.666667,135467.785714,136841.666667,,,218674.541667,239050.125,12.2,459863,4916.0,0.313295917073,0.303795069231,93.0,Alpaugh,93201,110.0,Alpaugh,93201,102206.0,103.0,61.0,42.0,133570
33,33,Ventura,2051.0,56,850536,California,0.00241142056303,10,502218.75,524295.833333,589982.791667,612753.208333,285379.166667,296204.166667,369092.791667,394076.791667,513900.0,543558.333333,686969.833333,721495.416667,1052250.83333,1054244.91667,386212.416667,398595.5,654929.083333,633150.0,669545.833333,694245.833333,5.5,850536,2051.0,0.507910626316,0.498426352632,89.0,Camarillo,91362,118.0,Camarillo,91362,141762.0,130.0,49.0,42.0,268969
34,34,Yolo,798.0,57,213016,California,0.00374619746873,27,345920.833333,364491.666667,387298.583333,417320.416667,,,267121.590909,293068.541667,350402.291667,380675.0,464614.583333,494757.0,,,,,,,400935.409091,430858.333333,6.5,213016,798.0,0.48444554,0.50028758,102.0,Davis,95616,98.0,Davis,95616,29272.0,29.0,15.0,12.0,71997
35,35,Yuba,2911.0,58,74492,California,0.039078021801,38,220610.416667,237579.166667,242127.083333,256287.458333,,,,,228694.541667,237425.0,263185.833333,285990.625,,,,,,,241968.666667,257237.416667,9.2,74492,2911.0,0.513247483333,0.55116638,208.0,Camptonville,95692,182.0,Camptonville,95692,13975.0,21.0,9.0,7.0,25139
36,36,Alpine,88.0,2,1110,California,0.0792792792793,57,,,396799.25,341541.541667,,,,,,,,,,,,,,,,,5.9,1110,88.0,,,,Markleeville,96120,,Markleeville,96120,89.0,,,,358
37,37,Amador,781.0,3,37001,California,0.0211075376341,45,243933.333333,263500.0,283074.333333,332749.958333,,,,,289922.666667,333528.875,387350.0,425045.75,,,,,,,283120.5,332631.041667,6.3,37001,781.0,0.4744352,0.5119122,505.0,Diamond Springs,95619,453.0,Diamond Springs,95619,4020.0,6.0,2.0,3.0,13925
38,38,Calaveras,1534.0,5,44828,California,0.034219684126,43,244854.166667,248200.0,299602.083333,324947.833333,,,237395.833333,247845.833333,299112.5,343850.0,395970.833333,412366.666667,,,,,,,299808.333333,327159.791667,6.2,44828,1534.0,0.5761432,0.615234266667,143.0,Angels Camp,95221,107.0,Angels Camp,95221,5753.0,9.0,3.0,1.0,18060
39,39,Colusa,398.0,6,21482,California,0.0185271390001,50,170000.0,260588.2353,244148.333333,254124.583333,,,,,,,,,,,,,,,244148.333333,254124.583333,19.4,21482,398.0,0.433650725,0.5084056,497.0,Arbuckle,95912,328.0,Arbuckle,95912,4763.0,5.0,3.0,3.0,6966
40,40,Del Norte,975.0,8,27254,California,0.0357745652014,47,158729.1308,200206.81,227342.857143,222450.0,,,,,236533.333333,252395.833333,,,,,,,,,227400.0,222616.666667,8.8,27254,975.0,0.3182083,0.3327514,685.0,Crescent City,95531,662.0,Crescent City,95531,4121.0,7.0,3.0,2.0,9420
41,41,Glenn,420.0,11,28017,California,0.0149908983831,48,186926.719457,176918.52375,225433.333333,227725.833333,,,,,222824.458333,235532.166667,,,,,,,,,225454.166667,227521.666667,8.9,28017,420.0,0.508968257143,0.440264628571,169.0,Elk Creek,95939,241.0,Elk Creek,95939,5492.0,7.0,6.0,4.0,9497
